manual_watch_utc	elapsed_s	gpu_use_pct	vram_alloc_pct	stdout_bytes
2026-07-19T06:45:51Z	30	0	60	0
2026-07-19T06:46:21Z	60	100	60	0
2026-07-19T06:46:51Z	90	0	60	0
2026-07-19T06:47:21Z	120	0	60	0
2026-07-19T06:47:52Z	150	0	60	0
2026-07-19T06:48:22Z	180	0	60	0
